Loops Result(%)
1 81.4
2 88.8
3 91.1
4 77.7
5 87.9
6 98.1
7 81.4
8 81.6
9 96.2
10 82.6
11 94.5
12 95.9
13 93.9
14 90.4
15 88.1
16 91.2
17 91.1
18 93.9
19 90.8
20 87.5
21 97.0
22 94.1
23 90.4
24 91.1
25 95.4
26 79.9
27 88.4
28 95.2
29 91.7
30 91.9
31 91.6
32 82.9
33 89.6
34 94.3
35 93.1
36 86.4
37 93.9
38 95.9
39 90.7
40 98.0
41 92.8
42 87.9
43 80.0
44 80.6
45 94.8
46 87.8
47 90.2
48 89.8
49 92.7
50 89.2
51 90.1
52 94.3
53 91.9
54 93.1
55 94.1
56 93.1
57 89.0
58 85.5
59 96.2
60 95.0
61 88.9
62 94.0
63 95.1
64 92.6
65 90.7
66 83.4
67 100.0
68 87.4
69 100.0
70 92.9
71 100.0
72 89.3
73 100.0
74 75.8
75 88.4
76 84.1
77 92.8
78 93.1
79 93.2
80 91.9
81 89.5
82 79.3
83 86.5
84 96.0
85 100.0
86 92.0
87 79.7
88 93.1
89 78.3
90 94.0
91 79.1
92 74.7
93 100.0
94 92.8
95 94.2
96 94.7
97 86.5
98 93.9
99 84.4
100 100.0
